"idviv","idhogar","idindivsp","isla","isla3","c_nuts4","urb_rur","tper","tama_hogar","num_adultos","tipo_hogar","ing_hog","edif","nhabit","superf","problem_luz","problem_got","problem_humed","problem_suc","problem_olor","problem_ruina","problem_def","tenencia","gasto_tenencia","tv","tva","tvb","tvc","tvd","tve","tlf_fijo","ordenador","ordenador_no","nordenador_a","nordenador_b","nordenador_c","internet","internet_noa","internet_nob","internet_noc","internet_nod","internet_noe","internet_nof","econo_sub1","econo_sub2","econo_sub3a","econo_sub3b","econo_sub3c","econo_sub3d","econo_sub3e","econo_sub3f","econo_sub3g","econo_sub3h","econo_sub3i","econo_sub3j","econo1a","econo1b","econo1c","econo1d","econo2a","econo2b","econo2c","econo2d","econo3","econo3a","econo4","econo4a","sexosp","edadsp","ecivilsp","naciodsp","extranjsp","lnacsp","cod_lnacsp","resIBsp","estudiossp","actividadsp","ingresos_1asp","ingresos_1bsp","ingresos_1csp","ingresos_1dsp","ingresos_1esp","ingresos_1fsp","ingresos_2asp","ingresos_2bsp","ingresos_2csp","ingresos_2dsp","ingresos_2esp","ingresos_2fsp","factor_h"
"105_03831","1050383111","105038311102","1","1","040705","2",2,"2",2,"06","-8","3",6,95,"1","6","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","0","1","0","1","-1","-1","-1","-1","-1","-1","2",2000,"1","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",32,"1","1","-1","1","-1","-1","08","1","1","6","6","6","6","6","-8","-1","-1","-1","-1","-1",95.603133763
"105_03835","105038351","10503835101","1","1","040705","2",1,"1",1,"02","02","2",6,110,"6","6","6","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","1","4",1000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",80,"3","1","-1","1","-1","-1","02","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",117.91417129
"105_03837","105038371","10503837101","1","1","040705","2",2,"2",2,"07","-8","2",6,110,"1","6","1","6","6","6","6","5","-8","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","6","4",1500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",69,"2","1","-1","1","-1","-1","02","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",26.890591375
"105_03901","105039011","10503901101","1","1","040705","2",2,"2",2,"07","03","2",6,110,"6","1","1","6","6","6","1","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","1","6","6","6","6","3",1500,"6","6","6","6","6","6","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",76,"2","1","-1","1","-1","-1","02","3","6","6","1","6","6","6","-1","-1","2","-1","-1","-1",17.534812901
"105_03905","105039051","10503905101","1","1","040705","2",1,"1",1,"01","03","3",5,78,"6","6","1","6","6","6","6","1","03","1","1","6","6","6","6","6","1","-1","1","0","0","6","1","1","6","1","6","6","2",2000,"1","6","6","6","6","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",33,"1","1","-1","1","-1","-1","04","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",52.272844283
"105_03906","105039061","10503906101","1","1","040705","2",1,"1",1,"01","02","1",6,173,"1","6","1","6","6","6","6","1","02","1","6","6","1","6","6","6","1","-1","1","2","0","1","-1","-1","-1","-1","-1","-1","3",1500,"6","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","1","1","1",55,"1","3","110","3","110","20","08","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",307.14834377
"105_03910","105039101","10503910101","1","1","040705","2",2,"2",2,"07","02","1",7,105,"1","6","1","6","6","6","6","2","-1","1","1","6","6","6","6","6","6","1","-1","-1","-1","6","6","6","6","6","6","1","3",1500,"1","6","6","6","6","6","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",67,"2","1","-1","1","-1","-1","02","3","6","6","6","6","6","6","-1","-1","-1","-1","-1","-1",26.890591375
"105_03911","105039111","10503911102","1","1","040705","2",2,"2",2,"07","02","2",6,80,"6","6","1","1","6","6","6","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","1","6","6","6","6","3",1500,"6","6","6","6","6","1","6","6","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",73,"2","1","-1","2","15","46","01","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",14.985285425
"105_03912","105039121","10503912101","1","1","040705","2",2,"2",2,"06","04","2",6,200,"6","6","6","6","6","6","6","5","-8","1","1","6","1","6","6","1","1","-1","0","1","0","1","-1","-1","-1","-1","-1","-1","4",4000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",55,"2","1","-1","1","-1","-1","03","1","6","1","6","6","6","6","-1","-8","-1","-1","-1","-1",56.221934803
"105_03913","105039131","10503913101","1","1","040705","2",4,"4",2,"10","05","3",6,125,"1","6","6","6","6","6","6","1","03","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","4",3500,"6","6","6","6","6","1","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",44,"4","1","-1","1","-1","-1","03","1","1","1","6","6","6","6","3","5","-1","-1","-1","-1",132.27030796
"105_03914","105039141","10503914101","1","1","040705","2",5,"5",2,"04","06","1",7,145,"6","1","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","1","-1","1","1","0","1","-1","-1","-1","-1","-1","-1","5",5000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",42,"2","1","-1","1","-1","-1","04","1","1","1","6","6","6","6","4","5","-1","-1","-1","-1",507.44310102
"105_03915","105039151","10503915101","1","1","040705","2",1,"1",1,"01","03","3",5,65,"6","6","6","6","6","6","6","1","02","1","1","6","6","6","6","1","6","2","-1","-1","-1","6","6","6","6","6","6","1","3",2000,"6","6","6","6","6","1","1","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",43,"1","1","-1","1","-1","-1","04","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",47.952907816
"105_03918","105039181","10503918101","1","1","040705","2",1,"1",1,"02","02","3",5,80,"6","1","6","6","6","6","6","2","-1","1","6","6","6","6","1","1","6","1","-1","-1","-1","6","6","1","6","6","6","1","2",1500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",90,"3","1","-1","1","-1","-1","02","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",117.91417129
"105_03919","1050391911","105039191101","1","1","040705","2",3,"3",3,"99","03","2",4,65,"1","6","1","1","6","6","1","3","02","1","1","6","6","6","6","6","6","2","-1","-1","-1","6","6","6","6","1","6","6","1",1200,"1","6","1","1","1","1","6","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",38,"5","1","-1","1","-1","-1","03","2","6","6","6","6","1","6","-1","-1","-1","-1","3","-1",29.20626291
"105_03920","105039201","10503920101","1","1","040705","2",3,"3",3,"05","05","2",7,130,"6","6","6","6","6","6","6","1","03","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","3",2000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",67,"2","1","-1","2","15","45","04","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",377.5173859
"105_03923","105039231","10503923102","1","1","040705","2",2,"2",2,"06","05","3",6,70,"6","6","1","1","6","6","6","1","03","1","1","6","6","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","4",3000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",37,"2","1","-1","1","-1","-1","04","1","6","1","6","6","6","6","-1","4","-1","-1","-1","-1",95.603133763
