vcf	ndvi	leaf	albedo
56.625	0.7529478	40.43478	0.1268958
53.9375	0.7200913	43.30435	0.1290298
26.3125	0.6916739	43.69565	0.1322692
39.5	0.7298913	41.43478	0.1322311
33.1875	0.6997739	38.73913	0.1319659
26.3125	0.6722435	35	0.1361129
44.875	0.7675652	39.93478	0.1280341
65.375	0.7502261	39.82609	0.1199904
52.5	0.7349565	38.30435	0.1215454
51.8125	0.7500348	42.52174	0.1205036
41.375	0.6931522	36.43478	0.1233788
31.5	0.6423652	37.04348	0.1287348
36	0.6273391	16.91304	0.1340111
19.5	0.5604174	14.28261	0.1451215
13.1875	0.5376695	13.56522	0.1530833
12.375	0.5514305	14.21739	0.1577285
71.8125	0.7033826	34.06522	0.1214613
73.375	0.7065609	35.97826	0.1187222
73.5	0.7253826	39.6087	0.1210957
38.625	0.5821696	14.19565	0.1304792
14.4375	0.4991652	18.19565	0.1490943
14	0.5675305	22.93478	0.1605799
17.3125	0.5762435	13.93478	0.1520137
20.9375	0.6447392	31.41304	0.1458056
15.6875	0.6885913	35.04348	0.1475028
21.4375	0.6946826	37.95652	0.1403841
29.5625	0.667213	37.17391	0.1451735
14.5	0.620113	34.8913	0.1483556
18.5	0.6999609	37.26087	0.1456708
22.5625	0.6954218	38.08696	0.1437657
19.0625	0.7170435	38.15217	0.1413763
31.4375	0.7392261	41.02174	0.1347098
61.1875	0.7488826	41.5	0.1230208
58.375	0.7288783	38.41304	0.1179135
33.625	0.7189304	39.6087	0.1180977
33.6875	0.6206522	34.52174	0.1202136
24.125	0.6588913	34.19565	0.1279477
44.25	0.695787	35.86956	0.126233
38.3125	0.6217479	14.95652	0.1329625
16.3125	0.5522913	13.17391	0.1466391
13.625	0.5580869	13.45652	0.151266
76.375	0.7302783	33.02174	0.1216757
69.4375	0.7286739	37.91304	0.1193988
73.5625	0.7265565	37.32609	0.1192721
43.875	0.6064174	14.41304	0.1317147
17.1875	0.5251392	21.1087	0.1519792
15.5625	0.5640696	23.26087	0.1560197
18.5	0.5956261	17.19565	0.1551841
28.9375	0.653787	16.86957	0.1496278
17.25	0.6272522	14.58696	0.1507591
29.8125	0.7003652	34.26087	0.1425318
24.0625	0.6538696	31.34783	0.142675
14.25	0.5814826	26.67391	0.1462396
13.0625	0.6137217	14.58696	0.1462333
16.1875	0.6746435	16.36957	0.1417667
11.125	0.6305391	25.6087	0.1447081
19.125	0.6657087	34.02174	0.1348229
36.25	0.716413	38.67391	0.1216196
31.3125	0.7296565	37.02174	0.1173504
31.9375	0.6835479	35.80435	0.1176731
27.625	0.6373174	31.43478	0.1172027
22.25	0.6323696	29.02174	0.1208182
28.1875	0.6370391	27.43478	0.1232992
24.5	0.6227913	27.23913	0.1324107
16.5625	0.5633783	12.52174	0.1436361
16.5625	0.596	14.69565	0.1478983
56.125	0.743313	38.47826	0.1187689
48.25	0.7285391	36.56522	0.1204975
50.4375	0.7245305	38.23913	0.1220705
34.125	0.639513	15.23913	0.1294263
25.625	0.5492392	12.54348	0.145017
19.1875	0.5656869	11.08696	0.155548
14.4375	0.5757304	13.86957	0.1573845
11.625	0.615	15.63043	0.1568167
15	0.6312913	16.6087	0.1564167
22.5	0.6479869	15.80435	0.1440707
25.125	0.6529913	30.02174	0.1283333
28.8125	0.6074087	21.76087	0.1221215
42.25	0.6207609	24.52174	0.1246588
52.0625	0.6854913	16.17391	0.1221559
35.4375	0.6262739	13.45652	0.1281014
51.25	0.6257609	27.3913	0.1235455
55.5625	0.6124696	23.73913	0.1165322
65.75	0.6669695	31.13043	0.1146239
66.75	0.6937044	36.17391	0.1141364
67.5625	0.6688739	36.41304	0.1141981
60.8125	0.7003261	33.47826	0.1153102
54.25	0.7138391	36.63044	0.1168942
47.25	0.6282565	15.73913	0.1226161
21.3125	0.5843217	13	0.1365227
15.875	0.5487652	9.869565	0.1382733
63.375	0.6695043	35.52174	0.1160504
67.9375	0.7225435	38.6087	0.1168955
63.5	0.6880435	37.80435	0.1176002
52.75	0.7018739	35.71739	0.1234259
44	0.6836304	17.95652	0.1320913
21.25	0.5947826	13.54348	0.1439722
17.875	0.5853696	14.45652	0.1513611
17.1875	0.5903304	15.36957	0.1495555
14.8125	0.6204739	16.17391	0.1532986
27.1875	0.6760609	18.13043	0.1430798
34.875	0.6908131	32.02174	0.1223801
40.1875	0.668987	31.93478	0.1154667
60.9375	0.7421957	41.08696	0.1156684
45.875	0.7236391	37.82609	0.1185493
36.125	0.7373565	41.28261	0.1189369
69	0.7523565	40.15217	0.1155
69.1875	0.7349739	38.54348	0.114633
69.8125	0.7302043	38.93478	0.1130883
59.6875	0.7613217	39.15217	0.1136343
69.75	0.762013	38.56522	0.1140657
54.6875	0.7322826	37.45652	0.1133141
48.625	0.7022435	38.52174	0.1157413
37.9375	0.6708261	34.45652	0.1290105
31.5625	0.6182261	15.8913	0.1356974
16.8125	0.5873435	15.73913	0.1399333
75.4375	0.7298043	42.54348	0.1196449
59.5	0.7164739	36.84783	0.1194053
51.8125	0.6878695	38.47826	0.1187205
51.5	0.7232913	37.30435	0.1177937
61.875	0.697713	34.28261	0.11715
37.8125	0.6243218	28	0.119153
38	0.6182739	17.82609	0.1284826
39.5625	0.6099392	15.26087	0.1330486
29.5625	0.6263739	27.8913	0.1313542
44.5	0.7104695	20.41304	0.1297162
31.875	0.6863522	32.91304	0.1197803
47.125	0.7286348	38.36956	0.1165418
68.8125	0.7449652	40.30435	0.1135275
53.3125	0.699187	37.23913	0.1137102
45.1875	0.6757696	35.36956	0.1155943
54	0.6830696	34.6087	0.1154629
55.3125	0.710887	35.5	0.1140242
59.5	0.7300478	38.21739	0.1131227
42.5	0.7273304	36.15217	0.1149375
38.4375	0.6931478	32.93478	0.1178227
27.4375	0.6543087	29.36957	0.1230742
34.625	0.699887	34.65217	0.1308731
30.125	0.7004392	35.06522	0.1417186
42.1875	0.6958218	19.28261	0.1380622
15.8125	0.5617	14.13043	0.1476408
70.375	0.7668217	43.32609	0.1254148
70.4375	0.722513	36.32609	0.1233736
67.8125	0.6896783	33.19565	0.1209741
67.75	0.6914957	31.5	0.1193157
40.625	0.6417391	28.80435	0.1162028
47.8125	0.6556261	31.08696	0.115275
47.1875	0.6361	32.8913	0.1221083
28.375	0.6988478	36.47826	0.1315417
28.5	0.7445348	37.82609	0.1364034
55.0625	0.7379783	42.23913	0.1302912
62	0.6874261	35.97826	0.1204744
52.0625	0.7084565	35.82609	0.1183857
61.875	0.7250783	36.78261	0.1237103
51.5625	0.6795435	34.08696	0.1244088
56.8125	0.6878304	36.63044	0.1226651
62.4375	0.6294478	36.5	0.1188766
48.6875	0.6864392	34.5	0.1192216
58.375	0.7246087	36.93478	0.1254895
42.0625	0.6859435	34.6087	0.1320955
37.1875	0.6824782	34.73913	0.1312659
48.625	0.7176043	37.47826	0.1309091
44.9375	0.7046435	37.17391	0.1351909
23.375	0.602087	30.84783	0.1471426
19.1875	0.6258609	16.91304	0.1512213
18.75	0.5857304	14.82609	0.1513278
26.625	0.7129609	42.82609	0.1445993
52.9375	0.7448391	41.3913	0.1331896
59.6875	0.7114739	39.69565	0.1305408
66.625	0.7393565	40.91304	0.1295398
62.5	0.6419826	33.52174	0.1247815
49.125	0.6329739	32.58696	0.124625
15.375	0.5762	25.45652	0.1367414
16.1875	0.5707043	24.91304	0.1495069
10.9375	0.528713	18.28261	0.1657341
23.8125	0.6452522	32.71739	0.1541016
53.25	0.7431087	41.54348	0.1356231
49.5	0.7266783	38.28261	0.1293507
56	0.7584044	43.21739	0.1288025
47.3125	0.7514435	43.41304	0.1369871
46.4375	0.7300783	40.56522	0.1351394
52.8125	0.7449608	40.04348	0.1308077
47.625	0.7123652	40.65217	0.1313679
49.125	0.7654217	41.56522	0.1387942
38.75	0.7307478	39.47826	0.1369702
19.5625	0.6988348	35.93478	0.1379261
22.125	0.7094478	36.13044	0.140888
24	0.6974956	36	0.1461937
26.375	0.6292217	14.65217	0.1498631
26.75	0.6359087	15.45652	0.1536988
36.9375	0.6241869	16.52174	0.1481375
14.75	0.5685261	14.04348	0.1531321
11	0.6553435	34.21739	0.1516971
19.0625	0.6927956	39.23913	0.1481158
58.25	0.7628478	40.54348	0.1332333
61	0.7485957	45.21739	0.1260304
59.1875	0.6986739	38.71739	0.120625
31.4375	0.5751044	13.80435	0.1283932
12.5625	0.538313	13.28261	0.1411616
10.6875	0.4515478	9.23913	0.1490135
23.3125	0.6492522	33.04348	0.1440541
45.0625	0.7264044	39.93478	0.1349268
51.5	0.7053826	39.95652	0.1355357
48.5625	0.7541478	41.04348	0.1347548
38.3125	0.7206391	42.5	0.1385975
45.875	0.7272304	43.1087	0.1382464
41.375	0.7552	43.21739	0.1414438
40.75	0.7553522	41.15217	0.1409742
40.625	0.7389913	39.36956	0.144202
25.9375	0.6874043	38.45652	0.1414578
19.5	0.608313	15.93478	0.1446193
23.5	0.653613	17	0.1432256
24.125	0.6489652	17.1087	0.1444715
19.6875	0.6401609	17.15217	0.143677
17.1875	0.6582783	17.86957	0.150478
18.625	0.6788652	17.80435	0.1499009
13	0.5698783	12.26087	0.155263
11.125	0.5453348	12.30435	0.160109
18.5	0.6546	29.95652	0.1554333
43.4375	0.7374218	41.8913	0.1408544
25.6875	0.6707044	35.95652	0.1356004
19.3125	0.7047435	36.56522	0.1395945
14.875	0.6175304	16.58696	0.1411187
13.625	0.5358739	13.21739	0.1425384
9.375	0.5106391	11.34783	0.1430306
