"code" "name" "iso3"
577 "Other Africa, nes" "NULL"
579 "Norway" "NOR"
580 "N. Mariana Isds" "MNP"
581 "United States Minor Outlying Islands" "UMI"
582 "Fmr Pacific Isds" "PCI"
583 "FS Micronesia" "FSM"
584 "Marshall Isds" "MHL"
585 "Palau" "PLW"
586 "Pakistan" "PAK"
588 "East and West Pakistan" "PAK"
590 "Fmr Panama, excl.Canal Zone" "PAN"
591 "Panama" "PAN"
592 "Fmr Panama-Canal-Zone" "PCZ"
598 "Papua New Guinea" "PNG"
600 "Paraguay" "PRY"
604 "Peru" "PER"
608 "Philippines" "PHL"
612 "Pitcairn" "PCN"
616 "Poland" "POL"
620 "Portugal" "PRT"
624 "Guinea-Bissau" "GNB"
626 "Timor-Leste" "TMP"
634 "Qatar" "QAT"
636 "Rest of America, nes" "NULL"
637 "North America and Central America, nes" "NULL"
638 "Réunion" "REU"
642 "Romania" "ROM"
643 "Russian Federation" "RUS"
646 "Rwanda" "RWA"
647 "Ryukyu Isd" "NULL"
654 "Saint Helena" "SHN"
658 "Saint Kitts, Nevis and Anguilla" "KNA"
659 "Saint Kitts and Nevis" "KNA"
660 "Anguilla" "AIA"
662 "Saint Lucia" "LCA"
666 "Saint Pierre and Miquelon" "SPM"
670 "Saint Vincent and the Grenadines" "VCT"
674 "San Marino" "SMR"
678 "Sao Tome and Principe" "STP"
682 "Saudi Arabia" "SAU"
686 "Senegal" "SEN"
688 "Serbia" "SRB"
690 "Seychelles" "SYC"
694 "Sierra Leone" "SLE"
697 "Europe EFTA, nes" "NULL"
698 "Sikkim" "NULL"
699 "India" "IND"
702 "Singapore" "SGP"
703 "Slovakia" "SVK"
704 "Viet Nam" "VNM"
705 "Slovenia" "SVN"
706 "Somalia" "SOM"
710 "South Africa" "ZAF"
711 "So. African Customs Union" "ZAF"
716 "Zimbabwe" "ZWE"
717 "Fmr Rhodesia Nyas" "NULL"
720 "Fmr Dem. Yemen" "YMD"
724 "Spain" "ESP"
732 "Western Sahara" "ESH"
736 "Sudan" "SDN"
740 "Suriname" "SUR"
748 "Swaziland" "SWZ"
752 "Sweden" "SWE"
757 "Switzerland" "CHE"
760 "Syria" "SYR"
762 "Tajikistan" "TJK"
764 "Thailand" "THA"
768 "Togo" "TGO"
772 "Tokelau" "TKL"
776 "Tonga" "TON"
780 "Trinidad and Tobago" "TTO"
784 "United Arab Emirates" "ARE"
788 "Tunisia" "TUN"
792 "Turkey" "TUR"
795 "Turkmenistan" "TKM"
796 "Turks and Caicos Isds" "TCA"
798 "Tuvalu" "TUV"
800 "Uganda" "UGA"
804 "Ukraine" "UKR"
807 "TFYR of Macedonia" "MKD"
810 "Fmr USSR" "SUN"
818 "Egypt" "EGY"
826 "United Kingdom" "GBR"
834 "United Rep. of Tanzania" "TZA"
835 "Fmr Tanganyika" "NULL"
836 "Fmr Zanzibar and Pemba Isd" "NULL"
837 "Bunkers" "NULL"
838 "Free Zones" "NULL"
839 "Special Categories" "NULL"
841 "USA (before 1981)" "USA"
842 "USA" "USA"
849 "US Misc. Pacific Isds" "NULL"
850 "US Virgin Isds" "VIR"
854 "Burkina Faso" "BFA"
858 "Uruguay" "URY"
860 "Uzbekistan" "UZB"
862 "Venezuela" "VEN"
866 "Fmr Dem. Rep. of Vietnam" "VDR"
868 "Fmr Rep. of Vietnam" "VNM"
876 "Wallis and Futuna Isds" "WLF"
879 "Western Asia, nes" "NULL"
882 "Samoa" "WSM"
886 "Fmr Arab Rep. of Yemen" "YEM"
887 "Yemen" "YEM"
890 "Fmr Yugoslavia" "YUG"
891 "Serbia and Montenegro" "SCG"
894 "Zambia" "ZMB"
899 "Areas, nes" "NULL"
